"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.503264208E0,-5.207670593E-1,4.255650330E-1,9.332642670E0
1.513196208E0,-4.430786133E-1,4.517605591E-1,9.367669830E0
1.523129208E0,-5.348377991E-1,4.592449951E-1,9.488917694E0
1.533062208E0,-7.307803345E-1,5.096900940E-1,9.717192993E0
1.542994208E0,-9.907896423E-1,6.298901367E-1,1.000579285E1
1.552927208E0,-9.843530273E-1,7.140151978E-1,1.007689499E1
1.562859208E0,-9.436376953E-1,6.957531738E-1,9.934091949E0
1.572792208E0,-1.140478363E0,5.513035583E-1,9.868228912E0
1.582724208E0,-1.434766388E0,2.785707092E-1,9.846973114E0
1.592657208E0,-1.535207520E0,1.785786438E-1,9.593400421E0
1.602590208E0,-1.324595490E0,4.282594299E-1,9.243428192E0
1.612522208E0,-1.211730194E0,7.333250427E-1,9.125922546E0
1.622455208E0,-1.286574554E0,8.391549683E-1,9.182055817E0
1.632387208E0,-1.266516266E0,8.882528687E-1,9.204509125E0
1.642320208E0,-1.124910736E0,1.003662872E0,8.977131958E0
1.652252208E0,-9.741741943E-1,1.122066650E0,8.677754517E0
1.662185208E0,-8.960366821E-1,1.247805176E0,8.437354431E0
1.672117208E0,-8.220904541E-1,1.403631134E0,8.355923767E0
1.682050208E0,-8.066725159E-1,1.517244873E0,8.363108826E0
1.691983208E0,-8.699908447E-1,1.552721100E0,8.367449799E0
1.701915208E0,-9.773176575E-1,1.572030945E0,8.312064972E0
1.711848208E0,-1.036594391E0,1.606159973E0,8.271499329E0
1.721780208E0,-1.045426025E0,1.630259857E0,8.271948395E0
1.731713208E0,-1.022972717E0,1.665885773E0,8.270601196E0
1.741646208E0,-9.461824036E-1,1.691781921E0,8.285270691E0
1.751578208E0,-8.768765259E-1,1.720522156E0,8.351133728E0
1.761511208E0,-7.819738770E-1,1.767823792E0,8.371341705E0
1.771443208E0,-6.927593994E-1,1.814975739E0,8.397387543E0
1.781376208E0,-6.427633667E-1,1.821112976E0,8.422235870E0
1.791308208E0,-5.198689270E-1,1.868414612E0,8.378826141E0
1.801241208E0,-5.270539856E-1,1.903142395E0,8.429271240E0
1.811174208E0,-6.286926270E-1,1.955084381E0,8.477471008E0
1.821106208E0,-7.376660156E-1,1.991907806E0,8.561296692E0
1.831039208E0,-8.646020508E-1,2.033072205E0,8.692274323E0
1.840971208E0,-8.907975769E-1,2.065554657E0,8.836723938E0
1.850904208E0,-9.211843872E-1,2.071991272E0,8.993298340E0
1.860836208E0,-9.123527527E-1,2.074685669E0,9.101972351E0
1.870769208E0,-9.030720520E-1,2.118245087E0,9.220525818E0
1.880702208E0,-8.704399109E-1,2.184706879E0,9.311237183E0
1.890634208E0,-8.414002991E-1,2.203268280E0,9.384734344E0
1.900567208E0,-8.292755127E-1,2.238445129E0,9.427245941E0
1.910499208E0,-7.870632935E-1,2.297721863E0,9.425299988E0
1.920432208E0,-7.620652771E-1,2.356100464E0,9.446705475E0
1.930364208E0,-6.942562866E-1,2.427052917E0,9.456435242E0
1.940297208E0,-6.746470642E-1,2.463127899E0,9.512418823E0
1.950230208E0,-6.650669861E-1,2.519710236E0,9.530531158E0
1.960162208E0,-6.295907593E-1,2.559826813E0,9.559271393E0
1.970095208E0,-6.131250000E-1,2.535427551E0,9.648485870E0
1.980027208E0,-6.083349609E-1,2.517913971E0,9.737251282E0
1.989960208E0,-6.387217712E-1,2.523153076E0,9.818532257E0
1.999892208E0,-6.728507996E-1,2.559976501E0,9.938732300E0
2.009825208E0,-7.056326294E-1,2.543061676E0,1.007075775E1
2.019758208E0,-7.327262878E-1,2.504142609E0,1.020083725E1
2.029690208E0,-7.436535645E-1,2.497406616E0,1.031385223E1
2.039623208E0,-6.938072205E-1,2.450853424E0,1.047656387E1
2.049555208E0,-6.194119263E-1,2.466720428E0,1.058194473E1
2.059488208E0,-5.432203674E-1,2.547252960E0,1.061682220E1
2.069420208E0,-4.754113770E-1,2.486479340E0,1.081171692E1
2.079353208E0,-4.282594299E-1,2.239492950E0,1.119731506E1
2.089286208E0,-3.510200500E-1,2.034269714E0,1.146900009E1
2.099218208E0,-2.095642090E-1,1.839524689E0,1.147079636E1
2.109151208E0,-9.954299927E-2,1.594933319E0,1.141166931E1
2.119083208E0,-3.427871704E-2,1.250798950E0,1.153276749E1
2.129016208E0,-2.439926147E-2,9.505233765E-1,1.152932465E1
2.138948208E0,-9.220825195E-2,7.408094788E-1,1.159114609E1
2.148881208E0,-1.627116394E-1,5.724096680E-1,1.176343781E1
2.158814208E0,-2.423460388E-1,4.008663940E-1,1.191507248E1
2.168746208E0,-3.076103210E-1,2.709365845E-1,1.198093552E1
2.178679208E0,-2.562670898E-1,2.429447937E-1,1.202269867E1
2.188611208E0,-1.541793823E-1,3.502716064E-1,1.191671906E1
2.198544208E0,-6.032455444E-2,5.204676819E-1,1.163096329E1
2.208476208E0,8.098159790E-2,6.144721985E-1,1.125509491E1
2.218409208E0,1.640588379E-1,6.334826660E-1,1.095377151E1
2.228342208E0,4.475692749E-2,7.083270264E-1,1.029933243E1
2.238274208E0,1.197509766E-2,6.661148071E-1,9.967173157E0
2.248207208E0,6.271957397E-2,6.509962463E-1,9.964628448E0
2.258139208E0,2.101629639E-1,6.842271423E-1,1.005533981E1
2.268072208E0,3.336561584E-1,6.713539124E-1,1.021460861E1
2.278004208E0,3.453318787E-1,7.101232910E-1,1.047371979E1
2.287937208E0,3.755690002E-1,8.324189758E-1,1.063643143E1
2.297870208E0,4.254153442E-1,8.910969543E-1,1.060529617E1
2.307802208E0,5.233117676E-1,8.405021667E-1,1.036399796E1
2.317735208E0,6.237528992E-1,7.955955505E-1,9.993817749E0
2.327667208E0,6.500981140E-1,6.973997498E-1,9.632768555E0
2.337600208E0,6.315367126E-1,6.593788147E-1,9.309740295E0
2.347532208E0,4.900808716E-1,7.595205688E-1,9.029373322E0
2.357465208E0,2.522254944E-1,8.774752808E-1,8.667276306E0
2.367398208E0,2.065704346E-2,9.514215088E-1,8.450976105E0
2.377330208E0,-2.022294617E-1,1.050365753E0,8.261769562E0
2.387263208E0,-4.007167053E-1,1.194815369E0,8.066276093E0
2.397194875E0,-5.150788879E-1,1.346000977E0,7.920329590E0
2.407127875E0,-5.176235962E-1,1.472637634E0,7.826923828E0
2.417060875E0,-4.505630493E-1,1.543590088E0,7.748187561E0
2.426992875E0,-3.173400879E-1,1.611848145E0,7.703131256E0
2.436925875E0,-2.466870117E-1,1.698966980E0,7.685767365E0
2.446857875E0,-2.327659607E-1,1.755399628E0,7.722740479E0
2.456790875E0,-2.098635864E-1,1.803449707E0,7.726782074E0
2.466722875E0,-2.008822632E-1,1.915267181E0,7.651937714E0
2.476655875E0,-1.913021851E-1,1.949845276E0,7.718399506E0
2.486587875E0,-1.196012878E-1,1.937570801E0,7.824229431E0
2.496520875E0,2.439926147E-2,1.938019867E0,7.961943054E0
2.506453875E0,1.145118713E-1,1.821412354E0,7.956853638E0
2.516385875E0,1.172062683E-1,1.804048462E0,8.171656952E0
2.526318875E0,4.758604431E-1,1.918560333E0,8.732091522E0
2.536250875E0,2.267784119E-1,1.998793488E0,8.999585266E0
2.546183875E0,-2.499801636E-2,2.234104156E0,8.605754242E0
2.556116875E0,1.246907043E-1,2.354304199E0,8.699758759E0
2.566048875E0,2.023791504E-1,2.247426453E0,8.949589233E0
2.575981875E0,1.695973206E-1,2.196532288E0,8.965456238E0
2.585913875E0,9.714797974E-2,2.318079529E0,9.065747681E0
2.595846875E0,7.484436035E-3,2.476450195E0,9.107061768E0
2.605778875E0,-4.101470947E-2,2.581381989E0,9.076225891E0
2.615711875E0,-6.391708374E-2,2.677781525E0,9.068292389E0
2.625644875E0,-9.520202637E-2,2.792293396E0,9.057664490E0
2.635576875E0,-5.209167480E-2,2.920576630E0,9.069040833E0
2.645509875E0,-5.792953491E-2,3.014880524E0,9.176816711E0
2.655441875E0,-1.188528442E-1,3.099754028E0,9.291029205E0
2.665374875E0,-1.776805115E-1,3.164569244E0,9.399852905E0
2.675306875E0,-2.558180237E-1,3.124003601E0,9.592801666E0
2.685239875E0,-2.008822632E-1,3.047662354E0,9.721234589E0
2.695172875E0,-1.419049072E-1,2.960393829E0,9.823022919E0
2.705104875E0,-1.344204712E-1,2.857557678E0,1.003243744E1
