"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.234549208E0,5.768132806E-1,-9.428912401E-2,-1.100064516E-1
2.244481208E0,4.685648084E-1,-5.703443661E-2,-1.551914960E-1
2.254414208E0,2.704371810E-1,2.446895093E-2,-2.133990973E-1
2.264347208E0,3.825347498E-2,1.148228124E-1,-2.803962529E-1
2.274279208E0,-1.708961874E-1,1.736217141E-1,-3.356021345E-1
2.284212208E0,-2.851061225E-1,1.733876318E-1,-3.632702529E-1
2.294144208E0,-2.821823061E-1,1.150936410E-1,-3.670366406E-1
2.304077208E0,-1.926407069E-1,4.927893728E-2,-3.471782506E-1
2.314009208E0,-6.651345640E-2,3.577036783E-3,-3.207427561E-1
2.323942208E0,5.068986863E-2,-5.418056156E-3,-2.860724032E-1
2.333875208E0,1.095117405E-1,2.992471308E-2,-2.554763854E-1
2.343807208E0,1.252419800E-1,6.968997419E-2,-2.401469648E-1
2.353740208E0,1.124782190E-1,1.379289627E-1,-2.240219861E-1
2.363672208E0,1.057303026E-1,1.789770573E-1,-1.939152181E-1
2.373605208E0,1.212621704E-1,2.051396966E-1,-1.672578603E-1
2.383537208E0,1.562819332E-1,2.341106236E-1,-1.425924748E-1
2.393469875E0,1.898511499E-1,2.482714504E-1,-1.129156649E-1
2.403402875E0,2.190210223E-1,2.259938568E-1,-8.421344310E-2
2.413334875E0,2.336553484E-1,1.728064865E-1,-5.400257185E-2
2.423267875E0,2.373049408E-1,1.135498211E-1,-3.039417975E-2
2.433199875E0,2.168226689E-1,4.226102307E-2,-1.137271617E-2
2.443132875E0,1.684948206E-1,-2.862646803E-2,3.163350280E-3
2.453064875E0,1.083010286E-1,-9.712160379E-2,2.027542889E-2
2.462997875E0,4.030626640E-2,-1.467536092E-1,3.518273681E-2
2.472930875E0,-3.709188104E-2,-1.703306288E-1,4.350698739E-2
2.482862875E0,-1.101213470E-1,-1.778151691E-1,3.366154805E-2
2.492795875E0,-1.782022417E-1,-1.836309433E-1,1.049575210E-2
2.502727875E0,-2.279546112E-1,-2.007979453E-1,-1.013788674E-2
2.512660875E0,-2.579430342E-1,-1.029001474E-1,-3.477687389E-2
2.522593875E0,-2.309383154E-1,3.173809126E-2,-3.554359823E-2
2.532525875E0,-9.387659281E-2,4.131268710E-2,-9.506019205E-2
2.542458875E0,9.088127315E-2,1.456638575E-1,-1.434788555E-1
2.552390875E0,2.433768064E-1,1.897996366E-1,-1.523346603E-1
2.562323875E0,3.385946751E-1,1.965305060E-1,-1.449156255E-1
2.572255875E0,3.809623122E-1,1.814782321E-1,-1.183814332E-1
2.582188875E0,3.856391013E-1,1.219331548E-1,-8.004868776E-2
2.592120875E0,3.779632747E-1,4.739183933E-2,-3.960871696E-2
