"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.835850875E1,-3.532534790E1,3.335739136E0,-3.510794067E1
7.836844175E1,-3.520676422E1,2.563842773E0,-3.524435425E1
7.837837475E1,-3.536267853E1,3.293518066E0,-3.552114868E1
7.838830675E1,-3.500653076E1,2.546272278E0,-3.506546021E1
7.839823975E1,-3.524990082E1,3.427429199E0,-3.558865356E1
7.840817275E1,-3.496315002E1,2.826469421E0,-3.575177002E1
7.841810575E1,-3.541907501E1,3.863685608E0,-3.593850708E1
7.842803775E1,-3.512619781E1,3.099029541E0,-3.567901611E1
7.843797075E1,-3.536571503E1,3.979225159E0,-3.583877563E1
7.844790375E1,-3.512093353E1,3.575126648E0,-3.544464111E1
7.845783675E1,-3.519416809E1,4.417884827E0,-3.601196289E1
7.846777258E1,-3.506465149E1,3.593673706E0,-3.573391724E1
7.847770558E1,-3.519171906E1,4.474021912E0,-3.592922974E1
7.848763858E1,-3.495241547E1,3.934410095E0,-3.575570679E1
7.849757058E1,-3.477480316E1,4.690452576E0,-3.638632202E1
7.850750358E1,-3.483889008E1,3.959648132E0,-3.610147095E1
7.851743658E1,-3.473525238E1,4.643417358E0,-3.689437866E1
7.852736958E1,-3.444453430E1,3.844482422E0,-3.700354004E1
7.853730158E1,-3.445914459E1,4.873908997E0,-3.768142700E1
7.854723458E1,-3.417607880E1,4.164489746E0,-3.746945190E1
7.855716758E1,-3.438149261E1,5.091384888E0,-3.756820679E1
7.856710058E1,-3.437505341E1,4.406990051E0,-3.729232788E1
7.857703258E1,-3.447816467E1,5.280227661E0,-3.771490479E1
7.858696558E1,-3.419139099E1,4.518386841E0,-3.724441528E1
7.859689858E1,-3.429231262E1,5.268211365E0,-3.836181641E1
7.860683158E1,-3.391819000E1,4.684280396E0,-3.776559448E1
7.861676358E1,-3.380071259E1,5.514007568E0,-3.849160767E1
7.862669658E1,-3.360671234E1,4.786964417E0,-3.822494507E1
7.863662958E1,-3.352795410E1,5.558494568E0,-3.879904175E1
7.864656258E1,-3.359510040E1,4.972549438E0,-3.829354858E1
7.865649458E1,-3.369687653E1,5.830398560E0,-3.867620850E1
7.866642758E1,-3.369687653E1,5.830398560E0,-3.867620850E1
7.867636058E1,-3.381952667E1,5.179809570E0,-3.811572266E1
7.868629358E1,-3.389357758E1,5.908317566E0,-3.822058105E1
7.869622558E1,-3.371716309E1,5.500030518E0,-3.807949829E1
7.870615858E1,-3.395047760E1,6.586479187E0,-3.830825806E1
7.871609158E1,-3.404019165E1,6.312431335E0,-3.779403687E1
7.872602358E1,-3.418122864E1,7.068153381E0,-3.852151489E1
7.873595658E1,-3.397064972E1,6.763992310E0,-3.793786621E1
7.874588958E1,-3.407920837E1,7.849731445E0,-3.822738647E1
7.875582258E1,-3.382766724E1,7.320068359E0,-3.777761841E1
7.876575458E1,-3.371889496E1,7.601715088E0,-3.871295166E1
7.877568758E1,-3.366038513E1,7.099822998E0,-3.824795532E1
7.878562058E1,-3.363939667E1,7.621315002E0,-3.881939697E1
7.879555358E1,-3.340231323E1,7.382232666E0,-3.878741455E1
7.880548558E1,-3.336568451E1,7.862060547E0,-3.910421753E1
7.881541858E1,-3.320624542E1,7.339920044E0,-3.872589111E1
7.882535158E1,-3.318640900E1,7.999610901E0,-3.912219238E1
7.883528458E1,-3.319028473E1,7.558059692E0,-3.857409668E1
7.884521658E1,-3.337345123E1,7.972579956E0,-3.899963379E1
7.885514958E1,-3.321611786E1,7.815505981E0,-3.833923340E1
7.886508258E1,-3.321356201E1,8.448989868E0,-3.875555420E1
7.887501558E1,-3.352170563E1,8.012954712E0,-3.829769897E1
7.888494758E1,-3.367342377E1,8.510826111E0,-3.835559082E1
7.889488058E1,-3.364521790E1,8.371810913E0,-3.872467041E1
7.890481358E1,-3.353019714E1,8.532020569E0,-3.886230469E1
7.891474658E1,-3.376757050E1,8.241294861E0,-3.823901367E1
7.892467858E1,-3.375102234E1,8.874862671E0,-3.879617310E1
7.893461158E1,-3.369376373E1,8.443870544E0,-3.842477417E1
7.894454458E1,-3.365053558E1,8.750762939E0,-3.865457153E1
7.895447758E1,-3.383001709E1,8.342552185E0,-3.848379517E1
7.896440958E1,-3.368914032E1,8.745513916E0,-3.846942139E1
7.897434258E1,-3.384690857E1,8.453094482E0,-3.836093140E1
7.898427558E1,-3.374472809E1,8.763641357E0,-3.871820068E1
7.899420758E1,-3.396516418E1,8.390808105E0,-3.844723511E1
7.900414058E1,-3.376932526E1,8.835922241E0,-3.899844360E1
7.901407358E1,-3.400035095E1,8.441665649E0,-3.867416382E1
7.902400658E1,-3.381458282E1,8.502815247E0,-3.885986328E1
7.903393858E1,-3.397159576E1,8.190467834E0,-3.848416138E1
7.904387158E1,-3.404331207E1,8.836997986E0,-3.843945312E1
7.905380458E1,-3.418980408E1,8.572746277E0,-3.844381714E1
7.906373758E1,-3.408605194E1,8.526268005E0,-3.874600220E1
7.907366958E1,-3.430781555E1,8.297050476E0,-3.822259521E1
7.908360258E1,-3.413903809E1,8.732948303E0,-3.865603638E1
7.909353558E1,-3.431464386E1,8.451110840E0,-3.838821411E1
7.910346858E1,-3.430260468E1,8.748596191E0,-3.877935791E1
7.911340058E1,-3.465414429E1,8.456520081E0,-3.833505249E1
7.912333358E1,-3.468582916E1,9.061614990E0,-3.825064087E1
7.913326658E1,-3.475707245E1,8.930541992E0,-3.802731323E1
7.914319958E1,-3.484291840E1,9.116622925E0,-3.855236816E1
7.915313158E1,-3.476020813E1,9.018753052E0,-3.771438599E1
7.916306458E1,-3.476458740E1,9.302101135E0,-3.785385132E1
7.917299758E1,-3.476497650E1,9.034896851E0,-3.730346680E1
7.918293058E1,-3.476741028E1,9.442298889E0,-3.775219727E1
7.919286258E1,-3.479027557E1,9.309188843E0,-3.752114868E1
7.920279558E1,-3.494348145E1,9.931274414E0,-3.776199341E1
7.921272858E1,-3.477249908E1,1.015113831E1,-3.754678345E1
7.922266158E1,-3.497309113E1,1.051528168E1,-3.739978027E1
7.923259358E1,-3.524085999E1,1.068148041E1,-3.729504395E1
7.924252658E1,-3.506311798E1,1.085095978E1,-3.739474487E1
7.925245958E1,-3.492326355E1,1.071273041E1,-3.697500610E1
7.926239258E1,-3.459326935E1,1.062470245E1,-3.735543823E1
7.927232458E1,-3.477222443E1,1.044868469E1,-3.730691528E1
7.928225758E1,-3.441954041E1,1.056462097E1,-3.738540649E1
7.929219058E1,-3.453947449E1,1.060273743E1,-3.714904785E1
7.930212358E1,-3.460603333E1,1.030660248E1,-3.722488403E1
7.931205558E1,-3.459246063E1,1.023983002E1,-3.718801880E1
7.932198858E1,-3.453585052E1,1.035219574E1,-3.755938721E1
7.933192158E1,-3.437444305E1,1.026933289E1,-3.710046387E1
7.934185358E1,-3.431658936E1,1.025814056E1,-3.727355957E1
7.935178658E1,-3.449712372E1,1.029669952E1,-3.740039062E1
7.936171958E1,-3.417277527E1,1.051622009E1,-3.791244507E1
7.937165258E1,-3.416007233E1,1.050929260E1,-3.757888794E1
7.938158458E1,-3.415332794E1,1.034893036E1,-3.785183716E1
7.939151758E1,-3.405192566E1,1.002138519E1,-3.771932983E1
7.940145058E1,-3.378018951E1,1.003468323E1,-3.795108032E1
7.941138358E1,-3.395764160E1,1.005154419E1,-3.810253906E1
7.942131558E1,-3.387220764E1,9.704681396E0,-3.798498535E1
7.943124858E1,-3.360222626E1,9.699150085E0,-3.812655640E1
7.944118158E1,-3.336317444E1,9.327919006E0,-3.825555420E1
7.945111458E1,-3.326692200E1,9.605209351E0,-3.783560181E1
